Gene.Symbol	Locus.ID	Cytoband	Entrez.IDs
ACAP3	116983	1p36.33	116983
ACTRT2	140625	1p36.32	140625
AGRN	375790	1p36.33	375790
ANKRD65	441869	1p36.33	441869
ATAD3A	55210	1p36.33	55210
ATAD3B	83858	1p36.33	83858
ATAD3C	219293	1p36.33	219293
AURKAIP1	54998	1p36.33	54998
B3GALT6	126792	1p36.33	126792
C1orf159	54991	1p36.33	54991
C1orf170	84808	1p36.33	C1orf170
C1orf222	-10	1p36.33	C1orf222
C1orf233	643988	1p36.33	C1orf233
C1orf86	199990	1p36.33	C1orf86
CALML6	163688	1p36.33	163688
CCNL2	81669	1p36.33	81669
CDK11A	728642	1p36.33	728642
CDK11B	984	1p36.33	984
CPSF3L	54973	1p36.33	54973
DDX11L1	-1	1p36.33	100287102
DVL1	1855	1p36.33	1855
FAM132A	388581	1p36.33	388581
FAM138A	-2	1p36.33	645520
FAM213B	127281	1p36.32	127281
FAM41C	-5	1p36.33	284593
FAM87B	-4	1p36.33	400728
GABRD	2563	1p36.33	2563
GLTPD1	80772	1p36.33	GLTPD1
GNB1	2782	1p36.33	2782
HES4	57801	1p36.33	57801
HES5	388585	1p36.32	388585
ISG15	9636	1p36.33	9636
KLHL17	339451	1p36.33	339451
LINC00115	79854	1p36.33	79854
LINC00982	-12	1p36.32	440556
MIB2	142678	1p36.33	142678
MIR200A	406983	1p36.33	406983
MIR200B	406984	1p36.33	406984
MIR429	554210	1p36.33	554210
MMEL1	79258	1p36.32	79258
MMP23B	8510	1p36.33	8510
MORN1	79906	1p36.33	79906
MRPL20	55052	1p36.33	55052
MXRA8	54587	1p36.33	54587
NADK	65220	1p36.33	65220
NOC2L	26155	1p36.33	26155
OR4F16	81399	1p36.33	81399
OR4F29	729759	1p36.33	729759
OR4F5	-3	1p36.33	79501
PANK4	55229	1p36.32	55229
PEX10	5192	1p36.32	5192
PLCH2	9651	1p36.32	9651
PLEKHN1	84069	1p36.33	84069
PRDM16	63976	1p36.32	63976
PRKCZ	5590	1p36.33	5590
PUSL1	126789	1p36.33	126789
RER1	11079	1p36.32	11079
RN7SL657P	-8	1p36.33	107074708
RNF223	-6	1p36.33	401934
SAMD11	148398	1p36.33	148398
SCNN1D	6339	1p36.33	6339
SDF4	51150	1p36.33	51150
