Approved symbol	Chromosome	NCBI Gene ID	Ensembl gene ID
A1BG	19q13.43	1	ENSG00000121410
A1BG-AS1	19q13.43	503538	ENSG00000268895
A1CF	10q11.23	29974	ENSG00000148584
A2M	12p13.31	2	ENSG00000175899
A2M-AS1	12p13.31	144571	ENSG00000245105
A2ML1	12p13.31	144568	ENSG00000166535
A2ML1-AS1	12p13.31		ENSG00000256661
A2ML1-AS2	12p13.31		ENSG00000256904
A2MP1	12p13.31	3	ENSG00000256069
A3GALT2	1p35.1	127550	ENSG00000184389
A4GALT	22q13.2	53947	ENSG00000128274
A4GNT	3q22.3	51146	ENSG00000118017
AAAS	12q13.13	8086	ENSG00000094914
AACS	12q24.31	65985	ENSG00000081760
AACSP1	5q35.3	729522	ENSG00000250420
AADAC	3q25.1	13	ENSG00000114771
AADACL2	3q25.1	344752	ENSG00000197953
AADACL2-AS1	3q25.1	101928142	ENSG00000242908
AADACL3	1p36.21	126767	ENSG00000188984
AADACL4	1p36.21	343066	ENSG00000204518
AADACP1	3q25.1	201651	ENSG00000240602
AADAT	4q33	51166	ENSG00000109576
AAGAB	15q23	79719	ENSG00000103591
AAK1	2p13.3	22848	ENSG00000115977
AAMDC	11q14.1	28971	ENSG00000087884
AAMP	2q35	14	ENSG00000127837
AANAT	17q25.1	15	ENSG00000129673
AAR2	20q11.23	25980	ENSG00000131043
AARD	8q24.11	441376	ENSG00000205002
AARS1	16q22.1	16	ENSG00000090861
AARS1P1	4q28.3		ENSG00000249038
AARS2	6p21.1	57505	ENSG00000124608
AARSD1	17q21.31	80755	ENSG00000266967
AASDH	4q12	132949	ENSG00000157426
AASDHPPT	11q22.3	60496	ENSG00000149313
AASS	7q31.32	10157	ENSG00000008311
AATBC	21q22.3	284837	ENSG00000215458
AATF	17q12	26574	ENSG00000275700
AATK	17q25.3	9625	ENSG00000181409
AAVS1	19q13	17	
ABALON	20q11.21	103021294	ENSG00000281376
ABAT	16p13.2	18	ENSG00000183044
ABCA1	9q31.1	19	ENSG00000165029
ABCA2	9q34.3	20	ENSG00000107331
ABCA3	16p13.3	21	ENSG00000167972
ABCA4	1p22.1	24	ENSG00000198691
ABCA5	17q24.3	23461	ENSG00000154265
ABCA6	17q24.2-q24.3	23460	ENSG00000154262
ABCA7	19p13.3	10347	ENSG00000064687
ABCA8	17q24.2	10351	ENSG00000141338
ABCA9	17q24.2	10350	ENSG00000154258
ABCA9-AS1	17q24.2		ENSG00000231749
ABCA10	17q24.3	10349	ENSG00000154263
ABCA11P	4p16.3	79963	ENSG00000251595
ABCA12	2q35	26154	ENSG00000144452
ABCA13	7p12.3	154664	ENSG00000179869
ABCA17P	16p13.3	650655	ENSG00000238098
ABCB1	7q21.12	5243	ENSG00000085563
ABCB4	7q21.12	5244	ENSG00000005471
ABCB5	7p21.1	340273	ENSG00000004846
ABCB6	2q35	10058	ENSG00000115657
ABCB7	Xq13.3	22	ENSG00000131269
ABCB8	7q36.1	11194	ENSG00000197150
ABCB9	12q24.31	23457	ENSG00000150967
ABCB10	1q42.13	23456	ENSG00000135776
ABCB10P1	15q11.2	56476	ENSG00000274099
ABCB10P3	15q13.1	728248	ENSG00000261524
ABCB10P4	15q13.1	100132289	ENSG00000260053
ABCB11	2q31.1	8647	ENSG00000073734
ABCC1	16p13.11	4363	ENSG00000103222
ABCC2	10q24.2	1244	ENSG00000023839
ABCC3	17q21.33	8714	ENSG00000108846
ABCC4	13q32.1	10257	ENSG00000125257
ABCC5	3q27.1	10057	ENSG00000114770
ABCC5-AS1	3q27.1		ENSG00000223882
ABCC6	16p13.11	368	ENSG00000091262
ABCC6P1	16p12.3	653190	ENSG00000256340
ABCC6P2	16p13.11	730013	ENSG00000255277
ABCC8	11p15.1	6833	ENSG00000006071
ABCC9	12p12.1	10060	ENSG00000069431
ABCC10	6p21.1	89845	ENSG00000124574
ABCC11	16q12.1	85320	ENSG00000121270
ABCC12	16q12.1	94160	ENSG00000140798
ABCC13	21q11.2	150000	ENSG00000243064
ABCD1	Xq28	215	ENSG00000101986
ABCD1P1	2p11.2	23785	
ABCD1P2	10p11.1	26983	ENSG00000215151
ABCD1P3	16p11.2	26982	ENSG00000261233
ABCD1P4	22q11.1	26957	ENSG00000225293
ABCD1P5	2p11.1	642762	ENSG00000214330
ABCD2	12q12	225	ENSG00000173208
ABCD3	1p21.3	5825	ENSG00000117528
ABCD4	14q24.3	5826	ENSG00000119688
ABCE1	4q31.21	6059	ENSG00000164163
ABCF1	6p21.33	23	ENSG00000204574
ABCF1-DT	6p21.33	107986587	
ABCF2	7q36.1	10061	ENSG00000033050
ABCF2P1	3p11.1	344653	ENSG00000242159
ABCF2P2	7q11.22	100422059	ENSG00000228769
ABCF3	3q27.1	55324	ENSG00000161204
ABCG1	21q22.3	9619	ENSG00000160179
ABCG2	4q22.1	9429	ENSG00000118777
ABCG4	11q23.3	64137	ENSG00000172350
ABCG5	2p21	64240	ENSG00000138075
ABCG8	2p21	64241	ENSG00000143921
ABHD1	2p23.3	84696	ENSG00000143994
ABHD2	15q26.1	11057	ENSG00000140526
ABHD3	18q11.2	171586	ENSG00000158201
ABHD4	14q11.2	63874	ENSG00000100439
ABHD5	3p21.33	51099	ENSG00000011198
ABHD6	3p14.3	57406	ENSG00000163686
ABHD8	19p13.11	79575	ENSG00000127220
ABHD10	3q13.2	55347	ENSG00000144827
ABHD11	7q11.23	83451	ENSG00000106077
ABHD11-AS1	7q11.23	171022	ENSG00000225969
ABHD12	20p11.21	26090	ENSG00000100997
ABHD12B	14q22.1	145447	ENSG00000131969
ABHD13	13q33.3	84945	ENSG00000139826
ABHD14A	3p21.2	25864	ENSG00000248487
ABHD14A-ACY1	3p21.2	100526760	ENSG00000114786
ABHD14B	3p21.2	84836	ENSG00000114779
ABHD15	17q11.2	116236	ENSG00000168792
ABHD15-AS1	17q11.2		ENSG00000264031
ABHD16A	6p21.33	7920	ENSG00000204427
ABHD16B	20q13.33	140701	ENSG00000183260
ABHD17A	19p13.3	81926	ENSG00000129968
ABHD17AP1	1q21.2	728917	ENSG00000198658
ABHD17AP3	1q41	648359	ENSG00000250536
ABHD17AP4	22q11.21	729495	ENSG00000229107
ABHD17AP5	22q11.22	91219	ENSG00000263366
ABHD17AP6	17p11.2	644988	ENSG00000226981
ABHD17AP7	16p11.2	100133212	ENSG00000260864
ABHD17AP8	16p11.2	647144	ENSG00000260540
ABHD17AP9	16p11.2	100132251	ENSG00000261536
ABHD17B	9q21.13	51104	ENSG00000107362
ABHD17C	15q25.1	58489	ENSG00000136379
ABHD18	4q28.2	80167	ENSG00000164074
ABI1	10p12.1	10006	ENSG00000136754
ABI1P1	14q22.3	326268	ENSG00000271484
ABI2	2q33.2	10152	ENSG00000138443
ABI3	17q21.32	51225	ENSG00000108798
ABI3BP	3q12.2	25890	ENSG00000154175
ABITRAM	9q31.3	54942	ENSG00000119328
ABITRAMP1	13q14.13	390403	ENSG00000251106
ABL1	9q34.12	25	ENSG00000097007
ABL2	1q25.2	27	ENSG00000143322
ABLIM1	10q25.3	3983	ENSG00000099204
ABLIM2	4p16.1	84448	ENSG00000163995
ABLIM3	5q32	22885	ENSG00000173210
ABO	9q34.2	28	ENSG00000175164
ABR	17p13.3	29	ENSG00000159842
ABRA	8q23.1	137735	ENSG00000174429
ABRACL	6q24.1	58527	ENSG00000146386
ABRAXAS1	4q21.23	84142	ENSG00000163322
ABRAXAS2	10q26.13	23172	ENSG00000165660
ABT1	6p22.2	29777	ENSG00000146109
ABT1P1	4q23	100420695	ENSG00000250496
ABTB1	3q21.3	80325	ENSG00000114626
ABTB2	11p13	25841	ENSG00000166016
ACAA1	3p22.2	30	ENSG00000060971
ACAA2	18q21.1	10449	ENSG00000167315
ACACA	17q12	31	ENSG00000278540
ACACB	12q24.11	32	ENSG00000076555
ACAD8	11q25	27034	ENSG00000151498
ACAD9	3q21.3	28976	ENSG00000177646
ACAD10	12q24.12	80724	ENSG00000111271
ACAD11	3q22.1	84129	ENSG00000240303
ACADL	2q34	33	ENSG00000115361
ACADM	1p31.1	34	ENSG00000117054
ACADS	12q24.31	35	ENSG00000122971
ACADSB	10q26.13	36	ENSG00000196177
ACADVL	17p13.1	37	ENSG00000072778
ACAN	15q26.1	176	ENSG00000157766
ACAP1	17p13.1	9744	ENSG00000072818
ACAP2	3q29	23527	ENSG00000114331
ACAP2-IT1	3q29		ENSG00000229325
ACAP3	1p36.33	116983	ENSG00000131584
ACAT1	11q22.3	38	ENSG00000075239
ACAT2	6q25.3	39	ENSG00000120437
ACBD3	1q42.12	64746	ENSG00000182827
ACBD3-AS1	1q42.12	107985353	ENSG00000234478
ACBD4	17q21.31	79777	ENSG00000181513
ACBD5	10p12.1	91452	ENSG00000107897
ACBD6	1q25.2-q25.3	84320	ENSG00000230124
ACBD7	10p13	414149	ENSG00000176244
ACCS	11p11.2	84680	ENSG00000110455
ACCSL	11p11.2	390110	ENSG00000205126
ACD	16q22.1	65057	ENSG00000102977
ACE	17q23.3	1636	ENSG00000159640
ACE2	Xp22.2	59272	ENSG00000130234
ACE3P	17q23.3	100129123	ENSG00000224353
ACER1	19p13.3	125981	ENSG00000167769
ACER2	9p22.1	340485	ENSG00000177076
ACER2P1	2q33.3	645978	ENSG00000180105
ACER3	11q13.5	55331	ENSG00000078124
ACHE	7q22.1	43	ENSG00000087085
ACIN1	14q11.2	22985	ENSG00000100813
ACKR1	1q23.2	2532	ENSG00000213088
ACKR2	3p22.1	1238	ENSG00000144648
ACKR3	2q37.3	57007	ENSG00000144476
ACKR4	3q22.1	51554	ENSG00000129048
ACKR4P1	6q24.1	285737	ENSG00000225415
ACLY	17q21.2	47	ENSG00000131473
ACMSD	2q21.3	130013	ENSG00000153086
ACNATP	9q31.1	347275	ENSG00000227411
ACO1	9p21.1	48	ENSG00000122729
ACO2	22q13.2	50	ENSG00000100412
ACOD1	13q22.3	730249	ENSG00000102794
ACOT1	14q24.3	641371	ENSG00000184227
ACOT2	14q24.3	10965	ENSG00000119673
ACOT4	14q24.3	122970	ENSG00000177465
ACOT6	14q24.3	641372	ENSG00000205669
ACOT7	1p36.31	11332	ENSG00000097021
ACOT8	20q13.12	10005	ENSG00000101473
ACOT9	Xp22.11	23597	ENSG00000123130
ACOT11	1p32.3	26027	ENSG00000162390
ACOT12	5q14.1	134526	ENSG00000172497
ACOT13	6p22.3	55856	ENSG00000112304
ACOX1	17q25.1	51	ENSG00000161533
ACOX2	3p14.3	8309	ENSG00000168306
ACOX3	4p16.1	8310	ENSG00000087008
ACOXL	2q13	55289	ENSG00000153093
ACOXL-AS1	2q13	400997	ENSG00000204581
ACP1	2p25.3	52	ENSG00000143727
ACP2	11p11.2	53	ENSG00000134575
ACP3	3q22.1	55	ENSG00000014257
ACP4	19q13.33	93650	ENSG00000142513
ACP5	19p13.2	54	ENSG00000102575
ACP6	1q21.2	51205	ENSG00000162836
ACP7	19q13.2	390928	ENSG00000183760
ACR	22q13.33	49	ENSG00000100312
ACRBP	12p13.31	84519	ENSG00000111644
ACRV1	11q24.2	56	ENSG00000134940
ACSBG1	15q25.1	23205	ENSG00000103740
ACSBG2	19p13.3	81616	ENSG00000130377
ACSF2	17q21.33	80221	ENSG00000167107
ACSF3	16q24.3	197322	ENSG00000176715
ACSL1	4q35.1	2180	ENSG00000151726
ACSL3	2q36.1	2181	ENSG00000123983
